Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
"Rua Domingos Menezes, 179 ",Vila Libanesa,São Paulo,320,5,4,6,R$ 890.000,890000.0,0.89,2781.25
Rua Manuel Monteiro,Cidade Domitila,São Paulo,180,3,3,4,R$ 550.000,550000.0,0.55,3055.5555555555557
Rua Serra da Sentinela,Vila Nova Savoia,São Paulo,325,4,6,3,R$ 1.650.000,1650000.0,1.65,5076.923076923077
Avenida Maria Estela,Jardim Maria Estela,São Paulo,110,2,1,1,R$ 445.000,445000.0,0.445,4045.4545454545455
"Rua Professor Ciro Formicola, 203 ",Parque São Rafael,São Paulo,125,2,1,2,R$ 425.000,425000.0,0.425,3400.0
"Rua Elias Gannam, 53 ",Vila Bandeirantes,São Paulo,120,2,3,2,R$ 500.000,500000.0,0.5,4166.666666666667
"Rua Zacarias de Gois, 431 ",Parque Colonial,São Paulo,138,3,1,3,R$ 1.060.000,1060000.0,1.06,7681.159420289855
Rua Gregório Paes de Almeida,Vila Madalena,São Paulo,401,5,9,4,R$ 3.890.000,3890000.0,3.89,9700.74812967581
Avenida das Magnólias,Cidade Jardim,São Paulo,420,4,4,4,R$ 2.200.000,2200000.0,2.2,5238.0952380952385
Rua Mata Machado,Vila Califórnia,São Paulo,260,4,4,4,R$ 1.250.000,1250000.0,1.25,4807.692307692308
Rua Alfonso de Albuquerque,Jardim das Imbuias,São Paulo,200,3,5,3,R$ 1.250.000,1250000.0,1.25,6250.0
"Rua Vicente Góes e Aranha, 587 ",Vila Tramontano,São Paulo,463,4,6,6,R$ 2.200.000,2200000.0,2.2,4751.619870410367
"Avenida Presidente Tancredo Neves, 668 ",Vila Nancy,São Paulo,132,2,1,1,R$ 390.000,390000.0,0.39,2954.5454545454545
"Rua Antônio Assumpção, 225 ",Parada Inglesa,São Paulo,154,2,4,4,R$ 650.000,650000.0,0.65,4220.779220779221
Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,São Paulo,300,4,4,3,R$ 1.600.000,1600000.0,1.6,5333.333333333333
"Rua Artur Montenegro, 9",Jardim Iva,São Paulo,250,2,2,2,R$ 370.000,370000.0,0.37,1480.0
"Avenida Dom Rodrigo Sanches, 828 ",Jardim Amália,São Paulo,120,2,2,1,R$ 130.000,130000.0,0.13,1083.3333333333333
"Rua Domingos de Braga, 7 ",Vila dos Remédios,São Paulo,110,3,3,2,R$ 545.000,545000.0,0.545,4954.545454545455
Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,R$ 1.100.000,1100000.0,1.1,6111.111111111111
"Rua Comendador Armando Pereira, 309 ",Tremembé,São Paulo,151,3,3,8,R$ 520.000,520000.0,0.52,3443.708609271523
Rua Santo Adauto,Vila Minerva,São Paulo,170,3,2,2,R$ 325.000,325000.0,0.325,1911.764705882353
Rua dos Maracujás,Vila Mazzei,São Paulo,211,4,7,8,R$ 890.000,890000.0,0.89,4218.009478672986
"Avenida Raimundo Pereira de Magalhães, 6000 ",Pirituba,São Paulo,102,3,4,2,R$ 409.000,409000.0,0.409,4009.8039215686276
Rua Nicolau Barreto,Vila Cordeiro,São Paulo,177,3,5,2,R$ 1.500.000,1500000.0,1.5,8474.57627118644
,Chácara Santo Antônio (Zona Sul),São Paulo,190,2,2,2,R$ 1.100.000,1100000.0,1.1,5789.473684210527
,Jardim Guedala,São Paulo,650,4,6,4,R$ 5.500.000,5500000.0,5.5,8461.538461538461
Rua Salvador Fontoura,Parque Boturussu,São Paulo,210,3,2,6,R$ 250.000,250000.0,0.25,1190.4761904761904
